zone,ts,gen_p10,gen_p50,gen_p90
Z3,2025-10-31 16:00:00,628.3661469755407,661.0871451546028,672.054629323393
Z3,2025-10-31 17:00:00,503.35687361179737,508.35838030241183,558.4598278659611
Z3,2025-10-31 18:00:00,353.98395002594134,366.5625728010771,383.87862546187483
Z3,2025-10-31 19:00:00,372.46207347109385,381.75894029083065,399.42029867685704
Z3,2025-10-31 20:00:00,387.54502071937713,403.3078540828197,424.0744746763415
Z3,2025-10-31 21:00:00,409.3555090598568,420.63198205305304,431.82777891434404
Z3,2025-10-31 22:00:00,393.53010753510733,412.86753243491285,433.41085765983263
Z3,2025-10-31 23:00:00,387.5135504247944,400.3849544813741,411.19873142679825
Z4,2025-10-30 00:00:00,585.0762444057387,616.0386071817072,652.3591589044283
Z4,2025-10-30 01:00:00,550.4704250631852,569.6685901754258,586.7572945515515
Z4,2025-10-30 02:00:00,550.217942027494,573.8688146797175,591.8784102169554
Z4,2025-10-30 03:00:00,512.5403738450865,522.3650403895836,535.9690901541364
Z4,2025-10-30 04:00:00,552.4763272663035,573.7109394404578,591.8784102169554
Z4,2025-10-30 05:00:00,703.0251429674476,727.1077756084118,746.5925420740589
Z4,2025-10-30 06:00:00,642.6202576852172,653.8805665527167,680.3885591534777
Z4,2025-10-30 07:00:00,640.9160738789216,693.124614451662,726.6024550845368
Z4,2025-10-30 08:00:00,900.2700464574535,931.4120299150941,964.1845079457412
Z4,2025-10-30 09:00:00,744.8875022213913,815.8683936004883,824.9744090986194
Z4,2025-10-30 10:00:00,944.6670619492414,1022.7564413873872,1067.7919712479193
Z4,2025-10-30 11:00:00,1044.7577750499281,1138.2458826863826,1151.4657128071128
Z4,2025-10-30 12:00:00,1088.4400877029207,1133.103892742102,1170.4840396714137
Z4,2025-10-30 13:00:00,927.968687991676,899.1108006969966,946.4474738259659
Z4,2025-10-30 14:00:00,897.0208164350321,889.8127107958121,921.1153270787308
Z4,2025-10-30 15:00:00,816.6103035896269,837.6719797462332,860.2334539104695
Z4,2025-10-30 16:00:00,662.8500119964141,704.0726391738108,702.9583107916408
Z4,2025-10-30 17:00:00,532.3483403722385,542.2572579249347,573.5934030627604
Z4,2025-10-30 18:00:00,409.14792955797793,430.18541626937304,455.36676347381206
Z4,2025-10-30 19:00:00,529.2158601541671,549.820138210234,555.9313422629032
Z4,2025-10-30 20:00:00,434.7766597469298,446.5996989810948,467.6157282995438
Z4,2025-10-30 21:00:00,441.5430242157753,472.654369331082,480.81766511074204
